Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
543297,Inox Wind Energy Ltd,Devansh  Trademart LLP,Promoter Group,Equity Shares,666236,5.94,Equity Shares,826446,700000000.00,Acquisition,Equity,1492682,12.39,26 Jul 2023,26 Jul 2023,27 Jul 2023,Preferential Offer,,,,,,,NA,31 Jul 2023
532977,BAJAJ AUTO LTD.,MANJUKANT THAREJA,Designated Person,Equity Shares,100,0.00,Equity Shares,551,2613613.00,Acquisition,Equity,651,0.00,28 Jul 2023,28 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
532977,BAJAJ AUTO LTD.,Zanzari Kailash J,Designated Person,Equity Shares,5500,0.00,Equity Shares,800,3903800.00,Disposal,Equity,4700,0.00,28 Jul 2023,28 Jul 2023,29 Jul 2023,Market Sale,,,,,,,NSE,31 Jul 2023
532927,ECLERX SERVICES LTD.,Eclerx Employee Welfare Trust,Trust,Equity Shares,800022,1.63,Equity Shares,6390,1759487.00,Disposal,Equity,793632,1.62,27 Jul 2023,27 Jul 2023,28 Jul 2023,Off Market,,,,,,,NA,31 Jul 2023
532977,BAJAJ AUTO LTD.,Ajay Rajinder Mohan Sharma,Designated Person,Equity Shares,543,0.00,Equity Shares,543,2646039.00,Disposal,Equity,0,0.00,28 Jul 2023,28 Jul 2023,28 Jul 2023,Market Sale,,,,,,,NSE,31 Jul 2023
532977,BAJAJ AUTO LTD.,DHARMESH KUMAR BANERJI,Designated Person,Equity Shares,613,0.00,Equity Shares,700,2059855.00,Acquisition,Equity,1313,0.00,22 Jul 2023,22 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
532187,INDUSIND BANK LTD.,ARUN KHURANA,Designated Person,Equity Shares,285770,0.04,Equity Shares,10000,14125000.00,Disposal,Equity,275770,0.04,31 Jul 2023,31 Jul 2023,31 Jul 2023,Market Sale,,,,,,,BSE,31 Jul 2023
543411,Hi-Tech Pipes Ltd,Parveen Bansal,Promoter Group,Equity Shares,9511070,7.27,Equity Shares,296000,23324800.00,Revoke,Equity,9511070,7.27,27 Jul 2023,27 Jul 2023,31 Jul 2023,Pledge Released,,,,,,,NA,31 Jul 2023
532187,INDUSIND BANK LTD.,MANABESH HOTA,Designated Person,Equity Shares,500,0.00,Equity Shares,500,703640.00,Disposal,Equity,0,0.00,21 Jul 2023,21 Jul 2023,31 Jul 2023,Market Sale,,,,,,,NSE,31 Jul 2023
532187,INDUSIND BANK LTD.,VIKAS MANGLA,Designated Person,Equity Shares,2271,0.00,Equity Shares,9900,4899510.00,Acquisition,Equity,12171,0.00,27 Jul 2023,27 Jul 2023,30 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
532187,INDUSIND BANK LTD.,MANABESH HOTA,Designated Person,Equity Shares,700,0.00,Equity Shares,200,281332.00,Disposal,Equity,500,0.00,21 Jul 2023,21 Jul 2023,31 Jul 2023,Market Sale,,,,,,,NSE,31 Jul 2023
524602,Bandaram Pharma Packtech Ltd,B Sathyavathi,Promoter & Director,Any other instrument,1350000,11.25,Any other instrument,1350000,0.00,Disposal,-,0,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,Others,,,,,,,NA,31 Jul 2023
504067,ZENSAR TECHNOLOGIES LTD.,Nachiketa Mitra,Designated Person,Equity Shares,19533,0.09,Equity Shares,19533,9424555.00,Disposal,Equity,0,0.00,28 Jul 2023,28 Jul 2023,29 Jul 2023,Market Sale,,,,,,,NSE,31 Jul 2023
532187,INDUSIND BANK LTD.,SUMIT SINGLA,Designated Person,Equity Shares,179,0.00,Equity Shares,4950,3881048.00,Acquisition,Equity,5129,0.00,27 Jul 2023,27 Jul 2023,30 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
542649,Rail Vikas Nigam Ltd,The President of India acting through and represented by the Ministry of Railways Government of India “Promoter” ,Promoter,Equity Shares,1630500971,78.20,Equity Shares,100581369,12312677080.00,Disposal,Equity,1529919602,73.38,27 Jul 2023,27 Jul 2023,31 Jul 2023,Market Sale,,,,,,,BSE,31 Jul 2023
501150,CENTRUM CAPITAL LTD.,Business Match Services India  Private Limited,Promoter,Equity Shares,134499041,32.33,Equity Shares,3000000,63900000.00,Pledge,Equity,134499041,32.33,27 Jul 2023,27 Jul 2023,31 Jul 2023,Pledge Released,,,,,,,NA,31 Jul 2023
542649,Rail Vikas Nigam Ltd,The President of India acting through and represented by the Ministry of Railways Government of India “Promoter” ,Promoter,Equity Shares,1529919602,73.38,Equity Shares,11175708,1359125752.00,Disposal,Equity,1518743894,72.84,28 Jul 2023,28 Jul 2023,31 Jul 2023,Market Sale,,,,,,,BSE,31 Jul 2023
532187,INDUSIND BANK LTD.,ROOPA SATISH,Designated Person,Equity Shares,0,0.00,Equity Shares,8500,8064800.00,Acquisition,Equity,8500,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
