Security Code,Security Name,Category of person,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Price,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Exchange on which the Trade was executed,Reported to Exchange
540691,Aditya Birla Capital Ltd,Designated Person,10000,1150000,115,Acquisition,NA,24-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,399680,74040720,185.25,Pledge,NA,24-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,170900,2300000,13.45816267,Acquisition,NA,24-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,20000,19653500,982.675,Acquisition,NA,24-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,223000,42024350,188.45,Pledge,NA,17-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,14448,125769,8.70494186,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,10320,1186800,115,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,9484,1090660,115,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,30960,3560400,115,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,61920,7120800,115,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,63420,7135800,112.5165563,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,72998,8394770,115,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,10640,1223600,115,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,399680,45963200,115,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,223000,25645000,115,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,110000,12650000,115,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,30960,3560400,115,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,28896,3323040,115,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,5160,593400,115,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,63420,7135800,112.5165563,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,22140,2388600,107.8861789,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,25800,2967000,115,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,15002,1725230,115,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,7500,862500,115,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,29646,3330540,112.3436551,Acquisition,NA,11-Jul-23
540691,Aditya Birla Capital Ltd,Designated Person,20000,3849000,192.45,Disposal,NA,29-Jun-23
540691,Aditya Birla Capital Ltd,Promoter,60569351,9999999850,165.1,Acquisition,NA,28-Jun-23
540691,Aditya Birla Capital Ltd,Promoter Group,15142337,2499999839,165.1,Acquisition,NA,28-Jun-23
540691,Aditya Birla Capital Ltd,Designated Person,50000,500000,10,Disposal,NA,23-Jun-23
540691,Aditya Birla Capital Ltd,Designated Person,50000,500000,10,Acquisition,NA,23-Jun-23
540691,Aditya Birla Capital Ltd,Designated Person,50000,500000,10,Pledge,NA,23-Jun-23
540691,Aditya Birla Capital Ltd,Designated Person,11820,1201800,101.6751269,Acquisition,NA,8-Jun-23
540691,Aditya Birla Capital Ltd,Designated Person,25000,2875000,115,Acquisition,NA,8-Jun-23
540691,Aditya Birla Capital Ltd,Designated Person,30396,3338040,109.8183972,Acquisition,NA,8-Jun-23
540691,Aditya Birla Capital Ltd,Designated Person,24998,2874770,115,Acquisition,NA,25-May-23
540691,Aditya Birla Capital Ltd,Designated Person,28300,2992000,105.7243816,Acquisition,NA,25-May-23
540691,Aditya Birla Capital Ltd,Designated Person,7740,673767,87.05,Acquisition,NA,25-May-23
540691,Aditya Birla Capital Ltd,Designated Person,60000,6900000,115,Acquisition,NA,25-May-23
540691,Aditya Birla Capital Ltd,Designated Person,80000,9200000,115,Acquisition,NA,25-May-23
540691,Aditya Birla Capital Ltd,Designated Person,24998,2874770,115,Acquisition,NA,11-May-23
540691,Aditya Birla Capital Ltd,Designated Person,60000,6900000,115,Acquisition,NA,11-May-23
540691,Aditya Birla Capital Ltd,Designated Person,10640,1223600,115,Acquisition,NA,11-May-23
540691,Aditya Birla Capital Ltd,Designated Person,500,97500,,Disposal,NSE,30-Jun-23
540691,Aditya Birla Capital Ltd,Designated Person,2000,381500,,Disposal,NSE,30-Jun-23
540691,Aditya Birla Capital Ltd,Promoter Group,26192810,4163347150,,Disposal,NSE,6-May-23
540691,Aditya Birla Capital Ltd,Promoter Group,27500000,4331250000,,Disposal,NSE,6-May-23
540691,Aditya Birla Capital Ltd,Promoter Group,27500000,4331250000,,Acquisition,NSE,6-May-23
540691,Aditya Birla Capital Ltd,Promoter Group,26192810,4163347150,,Acquisition,NSE,6-May-23
,,,,,,,,
,,,,,,,,
542752,Affle (India) Ltd,Immediate Relative,1500,1439796,,Acquisition,NSE,3-Jun-23
500215,AGRO TECH FOODS LTD.,Trust,1594,1354900,,Disposal,NSE,30-Jun-23
500215,AGRO TECH FOODS LTD.,Trust,1481,1218348,,Disposal,NSE,27-Jun-23
500215,AGRO TECH FOODS LTD.,Trust,1341,1072934,,Disposal,NSE,21-Jun-23
500215,AGRO TECH FOODS LTD.,Trust,3165,2555565,,Disposal,NSE,13-Jun-23
500215,AGRO TECH FOODS LTD.,Trust,6861,5297710,,Disposal,NSE,30-May-23
500215,AGRO TECH FOODS LTD.,Employee,2754,2111390,,Disposal,NSE,26-May-23
500215,AGRO TECH FOODS LTD.,Trust,1648,1277200,,Disposal,NSE,17-May-23
500215,AGRO TECH FOODS LTD.,Trust,1639,1281808,,Disposal,NSE,12-May-23
532683,AIA ENGINEERING LTD.,Other,1200,4122000,,Disposal,NSE,17-Jun-23
532683,AIA ENGINEERING LTD.,Other,628,2101000,,Disposal,NSE,16-Jun-23
532683,AIA ENGINEERING LTD.,Other,100,331000,,Disposal,NSE,16-Jun-23
532683,AIA ENGINEERING LTD.,Other,300,987000,,Disposal,NSE,14-Jun-23
532683,AIA ENGINEERING LTD.,Other,400,1302000,,Disposal,NSE,14-Jun-23
532683,AIA ENGINEERING LTD.,Other,900,2879000,,Disposal,NSE,12-Jun-23
532683,AIA ENGINEERING LTD.,Other,400,1262000,,Disposal,NSE,9-Jun-23
532683,AIA ENGINEERING LTD.,Other,600,1859000,,Disposal,NSE,7-Jun-23
532683,AIA ENGINEERING LTD.,Other,300,939000,,Disposal,NSE,7-Jun-23
532683,AIA ENGINEERING LTD.,Other,600,1839000,,Disposal,NSE,1-Jun-23
532683,AIA ENGINEERING LTD.,Other,1300,3891000,,Disposal,NSE,1-Jun-23
532331,AJANTA PHARMA LTD.,Promoter,117500,173735500,1478.6,Revoke,NA,30-Jun-23
532331,AJANTA PHARMA LTD.,Promoter,1670000,2506920500,1501.15,Pledge,NA,30-Jun-23
532331,AJANTA PHARMA LTD.,Promoter,190250,287267987,1509.949997,Revoke,NA,23-Jun-23
532331,AJANTA PHARMA LTD.,Promoter,953000,1214407900,1274.3,Revoke,NA,19-May-23
532331,AJANTA PHARMA LTD.,Promoter,533000,678375750,1272.75,Pledge,NA,19-May-23
532331,AJANTA PHARMA LTD.,Promoter,420000,535206000,1274.3,Pledge,NA,19-May-23
